,Unnamed: 0,Unnamed: 0.1, Job,Date,Jobstatus,Location,Text,Title,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment,Reviewclass,polarity,subjectivity,Review Length,Reviewclassif
535,535,10,Manufacturing Senior System Administrator,2017-05-02,Former Employee,Michigan,"a good place to work and easy worki am not sure about the job security as you know chrysler has been changed hands so many times in the past most of the jobs perform by contractors, so it is important that you have some project management skill",,0.8075,0.77,0.037,0.193,Positive,1.0,0.29047619047619044,0.6531746031746033,244,Positive
532,532,7,Material Handler/Hi-Lo Driver,2017-05-05,Former Employee,"Detroit, MI","enjoyed being apart of a team, working to ensure quality product, fast paced with management who worked towards your individual strengths, great benefits",Productive and Fast paced work environment,0.936,0.526,0.0,0.474,Positive,1.0,0.375,0.6124999999999999,153,Positive
531,531,6,Inspector General,2017-05-06,Former Employee,"Belvidere, IL","worked through a temp, service but met alot of great ppl felt very safe at my jobsercurity was very friendly and helpful the management was easy to work for as well",Productive and a great place to meet great people,0.9804,0.487,0.0,0.513,Positive,1.0,0.5927083333333334,0.7208333333333333,164,Positive
530,530,5,Production operator,2017-05-06,Current Employee,"Sterling Heights, MI",there is no job security ive been laid off for months with no return to work date and no unemployment the money was good when i was working but i rather not work in a plant anymore,,-0.2732,0.729,0.176,0.095,Positive,-1.0,0.7,0.6000000000000001,180,Positive
529,529,4,Line Operator/ Machine Maintenance,2017-05-07,Former Employee,"Warren, MI",nice paycan move up in companygood benefitsgood paygood co workersteam playerslong hourshard laborshort breaksgood paynice team workgood pay,Productive,0.34,0.792,0.069,0.139,Positive,1.0,0.6,1.0,140,Positive
528,528,3,Service Manager,2017-05-07,Former Employee,"Artesia, NM",good place to work until the corporate change over took place employees were hard workers and had a go get it attitude was a goof learning environment,Deent work enviroment,0.3612,0.842,0.051,0.106,Positive,1.0,0.1361111111111111,0.38055555555555554,150,Positive
527,527,2,Regional Account Executive,2017-05-07,Former Employee,"Minneapolis, MN",fca is strictly focused on profit and does not take into consideration employee happiness poor work environment with little training for new employees,Strict workplace,0.7184,0.609,0.099,0.292,Positive,1.0,0.06221590909090907,0.43863636363636366,150,Positive
524,524,20,Quality Engineer,2017-05-08,Current Employee,"Sterling Hts, MI",this is a great company to work for i have been their for over yrs this company provides an opportunity for anyone who is willing to work a good wage the opportunity to further their education with tuition assistance medical benefits are also included in the benefit package,This is a great company to work For I have been their for over 30 yrs,0.9531,0.682,0.0,0.318,Positive,1.0,0.35,0.52,274,Positive
526,526,1,Electrical Engineer,2017-05-08,Current Employee,"Auburn Hills, MI",fca (fiat chrysler automobiles) has a very nice campus its a relatively new campus it offers in house dinning and even has a dunkin donuts it also has a gym,poductive place to work,0.4754,0.89,0.0,0.11,Positive,1.0,0.3387878787878788,0.48484848484848486,156,Negative
521,521,17,Production Worker,2017-05-09,Former Employee,"Milwaukee, WI","easy work lazy people, incompetent management, not a good work environment always drama the hardest part was dealing with people and a shady union only good thing is the pay and benefits",Job,-0.6499,0.571,0.293,0.136,Positive,-1.0,-0.009523809523809521,0.7178571428571429,186,Negative
522,522,18,Production Assembly Line Worker,2017-05-09,Former Employee,"Sterling Heights, MI",the only downfall to this job were the layoffs management was fair and the employees were amazing the lack of production made work very slow which lead to us being laid off from time to time,Fun Place to Work,0.5859,0.797,0.056,0.147,Positive,1.0,0.22749999999999998,0.83,190,Positive
520,520,16,Assembler,2017-05-09,Former Employee,"Belvidere, IL",this was a temp job but i did like it the full timers there treated me good if they offered me a full time position at full pay i would not take it those people work too hard for their money seriously,I was a temp worker here,0.5927,0.728,0.116,0.157,Positive,1.0,0.1875,0.5763888888888888,200,Positive
523,523,19,Assembly - Tire Installer,2017-05-09,Current Employee,"Detroit, MI","i make sure that the tires are secure on the right side of the truck and i have learn more about a assembly plant,,production of a truck environmentmanagement is on top of line moveing fast and in order",Chrysler is a alright place to work for,0.6705,0.827,0.0,0.173,Positive,1.0,0.3976190476190477,0.6041005291005291,202,Positive
519,519,15,Warehouse Worker,2017-05-10,Former Employee,"Ontario, CA","the work was physically challenging, but after being there for / years, i really learned about myself and my limitations i didn't know i could do that kind of work i have to admit i enjoyed driving the big machines i was taught to drive a forklift, a stacker, and operate a hand trucki processed assignments for delivery, i picked parts for transport, i received incoming orders for parts and worked with drivers to pack/load trucks for transport",Great Job experience,0.9052,0.835,0.0,0.165,Positive,1.0,0.36,0.58,446,Positive
518,518,14,Purchasing,2017-05-11,Former Employee,"Auburn Hills, MI","performing lots of follow up emails fixing issues management is great, friendly atmosphere with coworkers i learned about product development life cycle","Friendly Atmosphere, good work/life balance",0.8074,0.722,0.0,0.278,Positive,1.0,0.5875,0.625,152,Negative
517,517,13,Hi-Lo Driver,2017-05-11,Former Employee,"Toledo, OH",learned a lot of things metal lotto good people overall time well spent there are highs and lows to every job and overall this is a good job and a good opportunity for many people would recommend fiat chrysler ne,Overall pretty good place to work at with the majority of people being Pleasant,0.9231,0.626,0.038,0.336,Positive,1.0,0.35714285714285715,0.3428571428571429,212,Neutral
516,516,12,Machine Operator,2017-05-11,Former Employee,"Kenosha, WI",we worked a lot of overtime at least six days a week hours a day to produce the best product and was a benchmark facility for chrysler we were proud of the work we did and we took care of any problems that we could solve to make correction the best of our ability in the engine division we had a standard that was very high and very positive to make the best engine possible i enjoyed my job and i work very hard and did the very best i could but i didn't ever want to put anything out that was not top-notch quality,Machining division was a very good place to work and you had your job to do.,0.94,0.756,0.041,0.202,Positive,1.0,0.3557144522144522,0.5773275058275058,516,Positive
515,515,11,Order Picker,2017-05-13,Former Employee,"Tappan, NY",didn't stay there long enough to form a valid opinion but i did learn a lot about work ethic and responsibility while temporarily employed with this company,Temp,0.0,1.0,0.0,0.0,Neutral,0.0,-0.025,0.45,156,Positive
512,512,8,electrician,2017-05-15,Former Employee,"Warren, MI","manager had us come in on sunday because he could, no assignments given cost could be brought down with better management enough was abandon on the ceiling there was plenty of work to be haduaw would not defend you if you were not in their back pocket the uaw is looking for dues only not people that can think for themselves",Think twice that the UAW will defend you.,-0.296,0.879,0.077,0.044,Positive,-1.0,0.06888888888888889,0.45777777777777773,325,Positive
514,514,10,Continuous Improvement Manager,2017-05-15,Former Employee,"Auburn Hills, MI",has a lot of opportunity to grow as a culture and be much better they are headed in the right direction! they need to do more to keep up with technology,It has a lot of opportunity!,0.7177,0.818,0.0,0.182,Positive,1.0,0.4523809523809524,0.5119047619047619,152,Positive
513,513,9,Assembly Line Worker,2017-05-15,Former Employee,"Toledo, OH","required to work between - days days a week overtime is available mostly the hardest part about working there is that the ours a very demanding, its can be difficult to find a balance, however as a fulltime employee you are given vacation and personal time",Great Compensation and benefits,-0.5709,0.893,0.107,0.0,Neutral,-1.0,0.12000000000000002,0.5,256,Positive
508,508,4,Technical Instructor,2017-05-16,Current Employee,"Ontario, CA",advancement opportunities are lacking it seems you have to wait until someone retires or quits before you have an opportunity to open up the internal hiring process leads you to believe there are already predetermined hirings,ok company,0.6597,0.863,0.0,0.137,Positive,1.0,0.0,0.25,225,Positive
509,509,5,Java Developer,2017-05-16,Former Employee,Michigan,"employee friendlynice platform to learn and executei have learned vb script and gwt frameworksthough i am a java developer, i got a change to learn more database specific",Productive and fun work place,0.0,1.0,0.0,0.0,Neutral,0.0,0.25,0.3125,170,Positive
510,510,6,Industrial Engineer,2017-05-16,Former Employee,"Detroit, MI",hilarious they say they help with work-life balance if in the plants will accommodate nope management doesn't care old school mentality everywhere,Work-Life Balance @ Plnt vs Corp,0.7653,0.714,0.0,0.286,Positive,1.0,0.3,0.6,146,Positive
511,511,7,Internet Sales Coordinator,2017-05-16,Former Employee,"Nanuet, NY","the workload is on par with a lot of bdc jobs you need to be good on the phones, take incoming inquiries and set appointments for the sales team i learned more about phone sales tactics and crm systems my coworkers were greatthey changed the pay plan under the guise of it making more money for us it became apparent rather quickly that we were losing out on a lot of money promised a review of compensation within days, but it never happenedthe department had very high turnover at one point, i was the only person left from when i was originally hiredi brought it to managements attention that we were losing out on a lot of month because of the new plan, and voiced my dissatisfaction with the pay plan, something echoed among fellow coworkers they responded by terminating me immediately goes to show how little they care about their employees everything is about making sure they make money, and don't care who has to sufferadvice to job seekers: when looking for a bdc position, make sure to have a copy of the pay plan as well as ask about turnover if they are constantly hiring, it's for a reason!",Good Stepping Stone,0.813,0.839,0.066,0.096,Positive,1.0,0.258228354978355,0.5691183261183261,1105,Positive
507,507,3,Team Assembler,2017-05-18,Former Employee,"Belvidere, IL",i loved working at fca they where another family to me they people their are kind and the jobs are not hard at all to do it is very flexible which i love to be active and staying busy,production and fast paste,0.9513,0.633,0.0,0.367,Positive,1.0,0.30178571428571427,0.5773809523809524,183,Positive
506,506,2,Site Supervisor,2017-05-19,Former Employee,"Detroit, MI","fun, always learning about new products things never got dull, and things stayed fresh there were several opportunities to work with other departments, and cross functional teams",Fun place to work,0.8576,0.687,0.0,0.313,Positive,1.0,0.04567099567099566,0.2899350649350649,178,Positive
505,505,1,Technician,2017-05-20,Former Employee,"Maple Shade, NJ 08052",a typical day consisted of checking in and assessing workload also follow up on ordered parts inspect used vehicle and submit report for authorization and repairs perform repairs as directed and verify correct before turning in repair order,A no pressure workplace,0.0,1.0,0.0,0.0,Neutral,0.0,-0.16666666666666666,0.5,240,Positive
501,501,18,Assmbler,2017-05-21,Former Employee,"Marysville, MI",great job and would love to return i learned alot from working there they have some very helpful people there and its a very clean place to work they take the time out to help ypu learn,Great job,0.9523,0.637,0.0,0.363,Positive,1.0,0.4941666666666667,0.6400000000000001,185,Positive
502,502,19,Dimensional Validation Engineer,2017-05-21,Former Employee,"Auburn Hills, MI","as a contract employee through dimensional controls systems not everyone is treated on the same level from a corporate stand point i liked working at chrysler but at the same time, the turnover rate is big and in smaller groups there tends to be biased group culture",Since 2010 after the Chrysler bankruptcy there seems to be a lack of culture and misguidance,-0.1901,0.902,0.057,0.041,Positive,-1.0,0.09999999999999999,0.275,266,Positive
503,503,20,Powertrain Procurement Specialist,2017-05-21,Former Employee,"Auburn Hills, MI",always a good day working with my fellow co-workers incredibly laid back work environment lots of fun activities going on during and after working hours,Great office environment with great people.,0.7351,0.78,0.0,0.22,Positive,1.0,0.47500000000000003,0.425,152,Positive
499,499,16,SERVICE TECHNICIAN,2017-05-22,Former Employee,"Cartersville, GA","i worked here following my certificate in automotive mechanics as my first full-time job my job was to diagnose and repair engines, transmissions, suspension, and other aspects of automotive performance",Hands on learning,0.0,1.0,0.0,0.0,Neutral,0.0,0.041666666666666664,0.26944444444444443,202,Positive
498,498,15,Unit Leader,2017-05-22,Former Employee,"Perrysburg, OH",the pay was good decent employees company vehicle was very nice new area so we had machine issues which caused us to misrate during the week,Very Clean environment,0.6801,0.757,0.046,0.197,Positive,1.0,0.4457575757575757,0.6803030303030303,140,Positive
500,500,17,Electrical Systems Qualification Engineer,2017-05-22,Current Employee,"Auburn Hills, MI","fun place to work, a lot of food and coffee options very relaxed and great place to work i learned a lot about electrical engineering, and how an oem functions",Fun Workplace,0.9033,0.683,0.0,0.317,Positive,1.0,0.43333333333333335,0.4166666666666667,159,Positive
497,497,14,Internship,2017-05-23,Former Employee,"Auburn Hills, MI",i had fun being an intern at fca people are very nice and they can help you if you need it sometimes it can get chaotic very quickly but you have co-workers who can help you,Great place to work,0.7577,0.719,0.05,0.23,Positive,1.0,0.5044444444444445,0.6166666666666667,173,Positive
495,495,12,Product Engineer,2017-05-24,Current Employee,"Auburn Hills, MI","fast paced, constantly changing deadlines, designs, release times very challenging, but very understanding and hard working team to help meeting targets with robust product",Challenging with Great Teamwork,0.727,0.665,0.066,0.269,Positive,1.0,0.15166666666666667,0.5549999999999999,172,Positive
496,496,13,Senior Financial Analyst,2017-05-24,Former Employee,"Auburn Hills, MI",learned a lot about a short cycle business and the dynamics of real time challenges from the global economy great learning on union relations and how to recover from a down cycle,Financial Analyst,0.7579,0.776,0.0,0.224,Positive,1.0,0.1688888888888889,0.32777777777777783,178,Positive
494,494,11,CNC OPERATOR,2017-05-29,Current Employee,"Marysville, MI",no real advancement unless taking some form of higher education or you're going to have to wait years to advance to the skill trades position use it as a stepping stone,Stay in School,-0.296,0.929,0.071,0.0,Neutral,-1.0,0.075,0.4,168,Positive
492,492,9,Production worker,2017-05-31,Former Employee,"Kokomo, IN",these are the type of jobs i like even though the work day can be very meticulous hard work makes my day go by and usually factory jobs compensate for the work very well also i enjoy learning new things about thee job and also the products worked on anything to keep my mind expanding on a day to day bases is always a plus for me,What i have been used to doing for years,0.7703,0.855,0.024,0.121,Positive,1.0,0.06578282828282829,0.3910353535353535,330,Positive
493,493,10,Shift Manager,2017-05-31,Current Employee,"Toledo, OH","good place to work, their is a great team of people working in the facility with one objective to be the best manufacturing facility in north america",Good place to work,0.9042,0.673,0.0,0.327,Positive,1.0,0.625,0.43750000000000006,149,Positive
490,490,7,Assembly/Production Line Worker,2017-06-01,Former Employee,"Sterling Heights, MI",the union was a plus for me they helped to resolve issues between the workers their jobs and their supervisors the new contract helped with a good pay increase within the year contract that the union helped with,Good people and hard workers.,0.7506,0.777,0.034,0.189,Positive,1.0,0.41818181818181815,0.5272727272727273,211,Positive
491,491,8,Warehouse Worker,2017-06-01,Former Employee,"Detroit, MI",pay rate is amazing gives you plenty of overtime hours have events for there employees very safe environment and clean open door policy someone is always alvalible,Great Place,0.8516,0.675,0.041,0.284,Positive,1.0,0.4041666666666667,0.6875,163,Positive
489,489,6,Backlite engineer,2017-06-02,Current Employee,Mexico City,"great people, they are fun, warm and talented i always had a really good time working in fca and/or its assembly plantsi learned a lot of things about how to be a product engineer and also designing some interior trim components using teamcenter and nx software i also learned how to use and go through the fca internal systems and how to work closely with the group and our suppliers to get to a root cause more easily and fasterthe management is not good the bureaucracy is way too much and they try to do a lot of micro-management, which just annoys the employees in general it can become a great company if it had the right leaders and management","Fun workplace with amazing people, great environment",0.9719,0.783,0.021,0.196,Positive,1.0,0.38608058608058615,0.5360805860805861,650,Positive
488,488,5,Powertrain Software and Controls Engineer,2017-06-03,Current Employee,"Auburn Hills, MI",fca is a good place to work it is my first job and really enjoyed working here it helped me to learn more stuff in the automotive sector and tried to increase my technical skills,Fun Place to work,0.8313,0.779,0.0,0.221,Positive,1.0,0.39,0.44666666666666666,178,Positive
487,487,4,Design Release Engineer,2017-06-05,Current Employee,"Auburn Hills, MI","working in this company for the past two years has taught me a great deal about the corporate culture adopted here it is as if the engineering team is treated like cattle and all the management is output they do not care about you as a person and only care about their bottom line do not waste your time in engineering, move on to something different",Stay away if you are an entrepreneur,0.5684,0.806,0.072,0.122,Positive,1.0,0.10833333333333334,0.43333333333333335,350,Negative
486,486,3,Production Worker,2017-06-06,Former Employee,"Twinsburg, OH","i only worked there in a temporary position i worked on the production line good company to work for, i wish the position would have been permanent",Only a temporary position,0.6808,0.789,0.0,0.211,Positive,1.0,0.35,0.8,147,Positive
485,485,2,Dealer agreement coordinator,2017-06-07,Former Employee,"Auburn Hills, MI",the environment is challenging and invigorating the position allowed me to explore several aspects of the business operation which i consider invaluable at the start of my career,Productive Work Environment,0.5719,0.842,0.0,0.158,Positive,1.0,0.25,0.5,178,Positive
481,481,19,Technician,2017-06-07,Former Employee,"Detroit, MI",make sure you have no life can't have a temper because management may cause you to flip out the union is unless great money if you get full time hours,It's a job and pays good,0.7602,0.696,0.061,0.243,Positive,1.0,0.5499999999999999,0.7296296296296297,150,Positive
482,482,20,Parts Specialist,2017-06-07,Former Employee,"Fontana, CA",my time as a parts specialist was great we were offered discounts to purchase vehicles referral program the company sick time roll over time paid holidays company bonuses,Team work attitude,0.7906,0.628,0.09,0.281,Positive,1.0,0.04285714285714287,0.8035714285714286,170,Positive
484,484,1,Detailer,2017-06-07,Former Employee,"Lawrenceburg, KY",applied for a raise and got approved on the next three paychecks the raise i had got was never applied to them and when i asked about it they made excuses,awful... incorrect paychecks.. always switching your schedule.. no benefits,0.4215,0.906,0.0,0.094,Positive,1.0,0.0,0.0,154,Negative
480,480,18,Manufacturing Production Specialist,2017-06-08,Current Employee,"Detroit, MI",not hiring full time makes the morale of the job low no opportunity for advancement money is good but there isn't any chance in becoming full time anytime soon,Compensation is ok but no current room for advancement,-0.1053,0.725,0.159,0.116,Positive,-1.0,0.36999999999999994,0.5700000000000001,159,Positive
479,479,17,CERTIFIED SALES CONSULTANT,2017-06-08,Former Employee,"McKinney, TX","working for fca was a fun learning experience for me though, as a salesman, the hours were long i worked around it to learn a plethora of new skills",Fun Experience,0.5106,0.879,0.0,0.121,Positive,1.0,0.12878787878787878,0.35151515151515156,148,Positive
478,478,16,Team Lead,2017-06-10,Current Employee,"Trenton, MI",not the best working environment management is only concerned about production claim that safety is a priority until it effects productions!! not the ideal environment to promote employee and management relationship,Stressful Environment Most times,-0.3244,0.682,0.176,0.142,Positive,-1.0,0.6333333333333333,0.7666666666666666,215,Neutral
477,477,15,Unit Leader,2017-06-11,Former Employee,Warren Mi,chrysler was a very fun and exciting work environment that i had the pleasure of working in there were plenty of opportunities for advancement and the employees were compensated very well for their time,Professional environment,0.9408,0.632,0.0,0.368,Positive,1.0,0.29666666666666663,0.45333333333333337,202,Positive
476,476,14,Safety Professional,2017-06-11,Former Employee,"Perrysburg, OH","due to automotive culture work life balance not a priority average working hours a week home life may suffer having said that, being a car person, working for the company that made the viper was pretty cool",Safety culture in development stage in certain areas,0.25,0.775,0.087,0.138,Positive,1.0,0.08124999999999999,0.60625,206,Positive
475,475,13,QUALITY INSPECTION SPECIALIST,2017-06-13,Current Employee,"Toledo, OH","put on paint suites to assure quality, put on proper ppe to assure quality make sure that you are at your job on time to avoid disciplinary actions take it one day at a time",Quality,0.5994,0.763,0.056,0.181,Positive,1.0,0.25,0.4944444444444444,173,Positive
474,474,12,Hi-Lo Driver,2017-06-13,Current Employee,Michigan,great benefits terrible everything else mgmt terrible environment terrible hours terrible temperature terrible breaks body down exhausting stressful frustrating,terrible,-0.9477,0.226,0.607,0.168,Positive,-1.0,-0.5728395061728396,0.8265432098765433,160,Positive
473,473,11,Assembler,2017-06-13,Former Employee,"Toledo, OH","its a cool job if you are a car person such as myself , the pay is decent and the people are pretty cool , the only problems i have have is in the summer time the temp is way over the top",work place,0.6705,0.7,0.09,0.21,Positive,1.0,0.23095238095238096,0.7095238095238096,187,Positive
472,472,10,BUDGET ANALYST,2017-06-15,Former Employee,"Auburn Hills, MI","many brands, many levels of management, many opportunities to contribute, strong leaders will do well, many unstructured areas where opportunity to create something new available",Great Learning Experience,0.8979,0.608,0.0,0.392,Positive,1.0,0.42424242424242425,0.5125541125541125,178,Positive
471,471,9,Production Worker,2017-06-15,Current Employee,"Toledo, OH","i've been working for chrysler for years now and my only complaint is they don't notify us in advance what's going on with the job they shift the hours every so often and we don't know until it's happening i love what i do at work though, the conditions are fair as well as pay the job isn't too difficult and where i'm stationed we work ahead of the assembly line so we can sort of work at our own pace","Stock work, inspecting parts and shipping to assembly line.",0.797,0.836,0.041,0.123,Positive,1.0,0.16666666666666666,0.7833333333333332,403,Positive
470,470,8,Sales Associate,2017-06-15,Former Employee,"Lexington, KY","fca will process care for the customer, but put out faulty products and knowingly sojeep and ram are ok, except anything base model, which will be complete trash chrysler actually has some great styling, and innovative ideas but re-send value is terrible and looks are way more important than qualitydodge has the slowest sorts car on the market, until you go to the srt line, which are all amazing looks are again the most important part for the most part, srt being amazing",Lack of substance,0.98,0.641,0.063,0.296,Positive,1.0,0.2571428571428572,0.7178571428571429,475,Neutral
469,469,7,Production Assembly Worker,2017-06-16,Former Employee,"Detroit, MI",job is misleading until you're hired then you're informed about being temporary and how you can be worked as much or as less as they see fit they want you to quit your current position for them with no guarantee of a consistent schedule or guarantee of becoming a full time employee in a timely manner the union deducts fees from you paycheck but offers you no coverage in times of need because you are a temp the management did not offer fair treatment the best thing about this job was the pay,Stressful Work Environment,0.3415,0.782,0.102,0.116,Positive,1.0,0.34259259259259256,0.4129629629629629,495,Neutral
468,468,6,Quality Control Operator,2017-06-16,Current Employee,"Sterling Heights, MI",genuine people to work with and a reliable company hard working people there to make sure that there is quality products produces for everyone in the world to enjoy,Overview,0.6249,0.784,0.044,0.172,Positive,1.0,0.2520833333333333,0.6076388888888888,164,Positive
467,467,5,Punch Press Operator/ contractor supervisor,2017-06-18,Former Employee,Twinsburg Ohio,"fiat chrysler automobiles is a wonderful place to work with tons of room for advancement, with very knowledgeable people to work with in diversity lots of overtime",Overall Summary,0.5719,0.871,0.0,0.129,Positive,1.0,0.6,0.65,163,Positive
466,466,4,Assembly line worker,2017-06-20,Current Employee,"Toledo, OH",hired in with a promise of a permanent position only kept on as a tpt working to days a week cannot survive on this pay any longer need to find another job,Cut Throat Environment,0.2023,0.872,0.05,0.077,Positive,1.0,0.0,1.0,155,Positive
465,465,3,Driver,2017-06-20,Current Employee,"Sterling Heights, MI",i enjoy the job because i like working outdoors the job is difficult in the winter for obvious reasons the management could use some training the workplace culture is fair at best,Driver,0.8658,0.63,0.063,0.307,Positive,1.0,0.32,0.6399999999999999,179,Positive
464,464,2,Production Operator,2017-06-21,Former Employee,"Sterling Heights, MI",making cars was not what i imagined it to be it's a lot simpler than you would think i enjoy the environment i enjoy learning something new i also love chrysler,making cars,0.891,0.685,0.0,0.315,Positive,1.0,0.3590909090909091,0.5136363636363637,160,Positive
463,463,1,Production Operator,2017-06-22,Current Employee,"Detroit, MI","long hours, you are a number they don't care about you or anything going on in your life revolving door plants always new faces most quit or get fired",not much home life,-0.7121,0.769,0.191,0.04,Positive,-1.0,0.19545454545454544,0.4515151515151515,150,Positive
461,461,20,Tech3/ Team Coordinator/Assembler,2017-06-22,Former Employee,"Detroit, MI",the hardest part of the job was learning a new job and trying to keep up with the line while it was moving working in a factor is not easy work and it breaks your body down,The hardest part of the Job,-0.3412,0.934,0.066,0.0,Neutral,-1.0,-0.07861952861952863,0.5255892255892256,172,Positive
460,460,19,Production Operator,2017-06-24,Current Employee,"Detroit, MI",there is no opportunity to advance but this is a great full time entry level job i wish i had more chances of becoming a financial analyst or something in finance through working at fca,Little opportunities for advancement,0.9207,0.629,0.039,0.332,Positive,1.0,0.42000000000000004,0.53,185,Positive
459,459,18,Zone Quality Lead/ Production Operator,2017-06-27,Current Employee,"Warren, MI",fca formally known as chrysler is not a bad place to work if your not afraid of actually working and earning your wage then you'll be fine it is physical work but nothing that can't be handled must come in ready to work,It is what you make it.,0.6783,0.856,0.0,0.144,Positive,1.0,0.2111111111111111,0.4682539682539683,219,Positive
458,458,17,Leader and Assembling Parts production,2017-06-28,Former Employee,"Toledo, OH",i thoroughly enjoyed interacting with fellow employees and learning the trade there was ample room for advancement if i wanted this was an excellent opportunity for a young man with a family to support they offered educational opportunities and they were an asset to the community i was very proud to work at jeep,Chrysler was a great opportunity to work and support my family,0.9652,0.664,0.0,0.336,Positive,1.0,0.5700000000000001,0.67,313,Negative
457,457,16,Customer Service Representative - Collections,2017-06-28,Former Employee,"Overland Park, KS",great job great pay great co workers great employers collections was the job experince i gain from this job so no complaints it is now out of business in the kc area,Collections,0.9388,0.46,0.145,0.396,Positive,1.0,0.8,0.75,165,Positive
456,456,15,Line Worker,2017-06-30,Former Employee,"Belvidere, IL","a typical day hour day, placing parts on a cari learned how to put parts on a carmanagement was okayhardest part of the job standing for hours, walking back and forththe most enjoyable part, meeting new people and getting paid",Building world class manufacturing cars,0.4927,0.919,0.0,0.081,Positive,1.0,0.19393939393939394,0.41090909090909095,226,Negative
455,455,14,Production worker,2017-07-05,Former Employee,"Toledo, OH",after working for chrysler for years and enduring all the unfair rules and hard labor i will say the company isn't for the employees only their product,Overrall the company is for its products not its workers.,-0.5423,0.842,0.158,0.0,Neutral,-1.0,-0.2638888888888889,0.8472222222222222,151,Positive
454,454,13,Forklift Operator,2017-07-05,Former Employee,"Toledo, OH",the job was rather bland but the money was great along with the benefits worked so many hours a week felt like i needed a bed inside the plant but the when pay day came around it was always worth it good pay really makes you appreciate your job,money,0.9692,0.597,0.05,0.353,Positive,1.0,0.3888888888888889,0.4972222222222223,244,Neutral
453,453,12,Operator,2017-07-07,Former Employee,"Detroit, MI",april -may working on the line doing cars a day how to put sealer on the car management is all about getting work done the incentiv,Production work,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.0,131,Positive
452,452,11,Cashier/ Receptionist Columbia,2017-07-08,Former Employee,"Columbia, TN",if you want to be used to do other employees jobs so the boss can go shopping with veteran employees have at it! the admin office is a joke! never again! they will use a good worker!,Its not worth it,0.7627,0.809,0.0,0.191,Positive,1.0,0.25,0.325,182,Positive
451,451,10,Production Operator,2017-07-10,Former Employee,"Toledo, OH",clock in and go on the line and do your job all day learned how to build parts of carsonly form of management i dealt with was the team leaderdo the same jobs every day,Decent,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.125,168,Positive
450,450,9,Penetration Tester,2017-07-10,Current Employee,Michigan,"i absolutely love working therenot only is my team collaborative and supportive but the entire company is as a whole people are young, personable, and a joy to be around",Fun working environment,0.8607,0.715,0.0,0.285,Positive,1.0,0.3,0.6035714285714286,169,Negative
448,448,7,Project Manager,2017-07-11,Current Employee,"Toledo, OH",the work place is so cu throat that you were always on edge the management style has become such that you had to figure out how to get things done without any guidance,Work Place,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.5,167,Positive
449,449,8,Intern,2017-07-11,Former Employee,"Sterling Hts, MI","interning for chrysler was an enjoyable experience people were accepting and welcoming the company works hard to improve the jobs and sales, and fights for it's people",Enjoyable place to intern at,0.802,0.577,0.113,0.31,Positive,1.0,0.10416666666666666,0.5708333333333333,167,Positive
447,447,6,Temp,2017-07-12,Former Employee,"Mansfield, MA",i worked there days a week hrs a day it was good to get all those hours although it was tough on the body i enjoyed the warehouse work it made me stronger,pick and packer,0.8074,0.708,0.042,0.249,Positive,1.0,0.27037037037037037,0.7111111111111112,154,Positive
446,446,5,Production Assembler,2017-07-13,Former Employee,"Toledo, OH","i will meant the work was fast pace and somtime hard but i love work there i just hate i took the buy-out in it was a good places to work, management was nice",N/a,0.8442,0.55,0.143,0.306,Positive,1.0,0.15138888888888888,0.7069444444444445,158,Positive
445,445,4,Production Worker,2017-07-14,Current Employee,"Toledo, OH",the pay is great there the work is really hard on your body the management can be a little be more organized the people there are fun to work with overall,Production hard work,0.7436,0.712,0.085,0.203,Positive,1.0,0.18680555555555556,0.4152777777777778,154,Positive
444,444,3,Case Management expert,2017-07-15,Current Employee,Somewhere,"productive with ping pong table and refrigerators and ice machinenice building and events as hot dog day,barbequessecure building, free coffee on third floor, certificates for mopar parts were given had quite a bit of training",Fun place to work minus  unhappy clients,0.5106,0.909,0.0,0.091,Positive,1.0,0.21666666666666667,0.55,226,Positive
442,442,1,Analyst,2017-07-17,Current Employee,"Auburn Hills, MI","fca culture has dramatically changed in the past year they hire people looking to prove themselves that are under qualified and under pay those positions, while requiring them to work crazy hours they know these people have no other option and that's why they take the abuse everyone who was already hired before the culture change is now leaving because they don't want to be abused don't work there unless you don't want a personal life, and want to feel disrespected on a daily basis",Under Compensated & Over Worked,-0.9448,0.786,0.214,0.0,Neutral,-1.0,-0.1575,0.365,486,Negative
440,440,20,Advanced Color and Materials Designer,2017-07-17,Current Employee,"Auburn Hills, MI",a great collaborative work space room for growth and development studio culture is diverse opportunity to travel in us and internationally management is approachable,Productive creative environment with great studio culture.,0.8591,0.678,0.0,0.322,Positive,1.0,0.4,0.375,165,Positive
439,439,19,Indirect Purchasing Buyer & Training Specialist,2017-07-17,Former Employee,"Auburn Hills, MI",fca highly values work life balance the work-from-home option provides employees flexibility to perform functions remotely a minimum of days/month and many departments allow per week work hours are also flexible with a core to requirement,Good opportunities to work in various disciplines related to all facets of procurement.,0.8016,0.765,0.0,0.235,Positive,1.0,0.18666666666666668,0.41333333333333333,238,Positive
